#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 01 00 19 999 99.0 99.0  0.84 11.76  7.31 346 9999.0 999.0  12.4 999.0 99.0 99.00
2016 01 01 00 49 999 99.0 99.0  0.76 11.76  6.82 352 9999.0 999.0  12.4 999.0 99.0 99.00
2016 01 01 01 19 999 99.0 99.0  0.74 11.76  6.83 349 9999.0 999.0  12.4 999.0 99.0 99.00
2016 01 01 02 19 999 99.0 99.0  0.71 11.11  5.98 348 9999.0 999.0  12.4 999.0 99.0 99.00
2016 01 01 02 49 999 99.0 99.0  0.78 12.50  6.45 345 9999.0 999.0  12.4 999.0 99.0 99.00
2016 01 01 03 19 999 99.0 99.0  0.78 14.29  6.82 358 9999.0 999.0  12.4 999.0 99.0 99.00
2016 01 01 03 49 999 99.0 99.0  0.72 11.11  6.38 346 9999.0 999.0  12.4 999.0 99.0 99.00
2016 01 01 04 19 999 99.0 99.0  0.65 10.53  6.26 346 9999.0 999.0  12.3 999.0 99.0 99.00
2016 01 01 04 49 999 99.0 99.0  0.69 11.76  7.16 352 9999.0 999.0  12.3 999.0 99.0 99.00
2016 01 01 05 19 999 99.0 99.0  0.69 11.11  7.29 349 9999.0 999.0  12.3 999.0 99.0 99.00
2016 01 01 06 49 999 99.0 99.0  0.69 11.11  7.02 348 9999.0 999.0  12.3 999.0 99.0 99.00
2016 01 01 07 19 999 99.0 99.0  0.67 12.50  6.86 353 9999.0 999.0  12.3 999.0 99.0 99.00
2016 01 01 07 49 999 99.0 99.0  0.70 12.50  7.15 353 9999.0 999.0  12.3 999.0 99.0 99.00
2016 01 01 08 19 999 99.0 99.0  0.71 13.33  6.62 353 9999.0 999.0  12.3 999.0 99.0 99.00
2016 01 01 08 49 999 99.0 99.0  0.73 14.29  6.36 359 9999.0 999.0  12.3 999.0 99.0 99.00
2016 01 01 09 19 999 99.0 99.0  0.78 11.76  6.72 349 9999.0 999.0  12.3 999.0 99.0 99.00
2016 01 01 10 19 999 99.0 99.0  0.82 13.33  6.90 346 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 10 49 999 99.0 99.0  0.82 12.50  7.30 351 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 11 19 999 99.0 99.0  0.79 11.76  6.52 348 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 11 49 999 99.0 99.0  0.74 12.50  6.46 349 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 12 19 999 99.0 99.0  0.75 11.76  7.47 348 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 12 49 999 99.0 99.0  0.77 12.50  7.87 351 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 14 19 999 99.0 99.0  0.71 14.29  6.07   0 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 14 49 999 99.0 99.0  0.67 12.50  6.93 359 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 15 19 999 99.0 99.0  0.64 12.50  7.38 351 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 15 49 999 99.0 99.0  0.70 13.33  8.05 359 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 16 19 999 99.0 99.0  0.64 13.33  8.75 352 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 16 49 999 99.0 99.0  0.72 13.33  9.95 356 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 17 19 999 99.0 99.0  0.70 13.33  8.10 351 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 18 19 999 99.0 99.0  0.83 18.18  6.88  13 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 18 49 999 99.0 99.0  0.81 13.33  7.78 356 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 19 19 999 99.0 99.0  0.86 18.18  8.73   3 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 19 49 999 99.0 99.0  0.79 13.33  7.78 355 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 20 19 999 99.0 99.0  0.83 16.67  8.62   3 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 20 49 999 99.0 99.0  0.74 16.67  8.24   7 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 01 21 19 999 99.0 99.0  0.78 16.67  9.10   5 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 22 19 999 99.0 99.0  0.81 16.67  9.06   5 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 22 49 999 99.0 99.0  0.82 16.67  9.29   3 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 23 19 999 99.0 99.0  0.83 16.67 10.22   3 9999.0 999.0  12.2 999.0 99.0 99.00
2016 01 01 23 49 999 99.0 99.0  0.77 16.67  9.69   3 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 02 00 49 999 99.0 99.0  0.77 16.67 10.40   3 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 02 01 19 999 99.0 99.0  0.86 16.67 10.53   2 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 02 02 19 999 99.0 99.0  0.84 13.33 10.31 355 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 02 02 49 999 99.0 99.0  0.91 14.29 10.56   2 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 02 03 19 999 99.0 99.0  0.86 13.33 10.82 352 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 02 03 49 999 99.0 99.0  0.77 16.67 10.29 356 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 02 04 49 999 99.0 99.0  0.80 12.50 10.34 352 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 02 05 19 999 99.0 99.0  0.76 15.38 10.48   7 9999.0 999.0  12.1 999.0 99.0 99.00
2016 01 02 06 19 999 99.0 99.0  0.78 13.33 10.87 355 9999.0 999.0  12.0 999.0 99.0 99.00
2016 01 02 06 49 999 99.0 99.0  0.79 12.50 10.87 353 9999.0 999.0  12.0 999.0 99.0 99.00
2016 01 02 07 19 999 99.0 99.0  0.79 15.38 11.37   0 9999.0 999.0  12.0 999.0 99.0 99.00
2016 01 02 07 49 999 99.0 99.0  0.98 12.50 11.69 351 9999.0 999.0  12.0 999.0 99.0 99.00
2016 01 02 08 49 999 99.0 99.0  0.98 15.38 11.83   9 9999.0 999.0  12.0 999.0 99.0 99.00
2016 01 02 09 19 999 99.0 99.0  0.85 12.50 11.17 346 9999.0 999.0  12.0 999.0 99.0 99.00
2016 01 02 10 19 999 99.0 99.0  0.90 15.38 11.47   2 9999.0 999.0  12.0 999.0 99.0 99.00
2016 01 02 10 49 999 99.0 99.0  0.90 12.50 11.07 349 9999.0 999.0  12.0 999.0 99.0 99.00
2016 01 02 11 19 999 99.0 99.0  0.84 15.38 10.76   0 9999.0 999.0  12.0 999.0 99.0 99.00
2016 01 02 11 49 999 99.0 99.0  0.87 13.33 10.86 352 9999.0 999.0  12.0 999.0 99.0 99.00
2016 01 02 12 19 999 99.0 99.0  0.92 12.50 11.53 352 9999.0 999.0  12.0 999.0 99.0 99.00
2016 01 02 12 49 999 99.0 99.0  0.86 14.29 11.57 359 9999.0 999.0  12.0 999.0 99.0 99.00
2016 01 02 13 19 999 99.0 99.0  0.88 12.50 11.41 349 9999.0 999.0  11.9 999.0 99.0 99.00
2016 01 02 14 19 999 99.0 99.0  0.87 13.33 10.96 353 9999.0 999.0  12.6 999.0 99.0 99.00
2016 01 02 14 49 999 99.0 99.0  0.79 14.29 10.64   5 9999.0 999.0  12.6 999.0 99.0 99.00
2016 01 02 15 19 999 99.0 99.0  0.84 12.50 10.82 353 9999.0 999.0  12.6 999.0 99.0 99.00
2016 01 02 15 49 999 99.0 99.0  0.83 13.33 10.75 352 9999.0 999.0  12.6 999.0 99.0 99.00
2016 01 02 16 19 999 99.0 99.0  0.81 12.50 10.81 353 9999.0 999.0  12.5 999.0 99.0 99.00
2016 01 02 16 49 999 99.0 99.0  0.79 11.76 10.49 349 9999.0 999.0  12.5 999.0 99.0 99.00
2016 01 02 17 19 999 99.0 99.0  0.81 13.33 10.63 356 9999.0 999.0  12.5 999.0 99.0 99.00
2016 01 02 18 19 999 99.0 99.0  0.89 12.50 10.59 352 9999.0 999.0  12.4 999.0 99.0 99.00
2016 01 02 18 49 999 99.0 99.0  0.76 13.33 10.43 355 9999.0 999.0  12.5 999.0 99.0 99.00
2016 01 02 19 19 999 99.0 99.0  0.81 12.50 10.57 351 9999.0 999.0  12.6 999.0 99.0 99.00
2016 01 02 19 49 999 99.0 99.0  0.75 12.50 10.05 351 9999.0 999.0  12.8 999.0 99.0 99.00
2016 01 02 20 19 999 99.0 99.0  0.72 12.50  9.98 351 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 02 20 49 999 99.0 99.0  0.79 11.76 10.42 352 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 02 21 19 999 99.0 99.0  0.71 12.50 10.84 348 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 02 22 19 999 99.0 99.0  0.69 13.33 10.23 353 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 22 49 999 99.0 99.0  0.67 11.76 10.42 349 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 02 23 49 999 99.0 99.0  0.64 11.11  9.79 348 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 03 00 49 999 99.0 99.0  0.57 12.50  9.99 351 9999.0 999.0  13.0 999.0 99.0 99.00
2016 01 03 01 19 999 99.0 99.0  0.69 12.50 11.15 349 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 03 02 19 999 99.0 99.0  0.66 11.76 10.79 346 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 03 02 49 999 99.0 99.0  0.64 13.33 10.82 355 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 03 03 19 999 99.0 99.0  0.64 11.76 11.01 348 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 03 03 49 999 99.0 99.0  0.61 11.76 10.74 349 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 03 04 19 999 99.0 99.0  0.61 12.50 10.64 349 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 03 04 49 999 99.0 99.0  0.66 11.76 10.95 351 9999.0 999.0  12.9 999.0 99.0 99.00
2016 01 03 05 19 999 99.0 99.0  0.63 13.33 11.24 353 9999.0 999.0  12.9 999.0 99.0 99.00
