#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 01 00 15 999 99.0 99.0  0.81 10.53  9.99 343 9999.0 999.0  13.4 999.0 99.0 99.00
2010 01 01 00 45 999 99.0 99.0  0.73 12.50 10.19 347 9999.0 999.0  13.4 999.0 99.0 99.00
2010 01 01 01 15 999 99.0 99.0  0.75 12.50 10.04 349 9999.0 999.0  13.4 999.0 99.0 99.00
2010 01 01 01 45 999 99.0 99.0  0.83 11.11 10.49 343 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 02 15 999 99.0 99.0  0.84 11.76 10.57 346 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 02 45 999 99.0 99.0  0.78 12.50 10.53 353 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 03 15 999 99.0 99.0  0.79 11.76 10.42 346 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 03 45 999 99.0 99.0  0.85 11.76 10.30 346 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 04 15 999 99.0 99.0  0.89 11.11 10.38 344 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 04 45 999 99.0 99.0  0.79 12.50 10.32 346 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 05 15 999 99.0 99.0  0.84 11.76 10.58 346 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 05 45 999 99.0 99.0  0.79 11.11 10.43 347 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 06 15 999 99.0 99.0  0.79 11.11 10.64 347 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 06 45 999 99.0 99.0  0.74 13.33 10.78 353 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 07 15 999 99.0 99.0  0.82 12.50 10.95 350 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 07 45 999 99.0 99.0  0.76 12.50 10.73 350 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 01 08 15 999 99.0 99.0  0.80 13.33 10.91 350 9999.0 999.0  13.2 999.0 99.0 99.00
