#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 01 00 21 999 99.0 99.0  0.83 11.11  6.48 349 9999.0 999.0  12.6 999.0 99.0 99.00
2014 01 01 00 51 999 99.0 99.0  0.85 14.29  6.20   0 9999.0 999.0  12.5 999.0 99.0 99.00
2014 01 01 01 21 999 99.0 99.0  0.86 11.76  5.78 349 9999.0 999.0  12.5 999.0 99.0 99.00
2014 01 01 01 51 999 99.0 99.0  0.95 12.50  5.95 349 9999.0 999.0  12.5 999.0 99.0 99.00
2014 01 01 02 21 999 99.0 99.0  0.95 12.50  6.23 352 9999.0 999.0  12.5 999.0 99.0 99.00
2014 01 01 02 51 999 99.0 99.0  1.02 14.29  6.57 353 9999.0 999.0  12.5 999.0 99.0 99.00
2014 01 01 03 21 999 99.0 99.0  1.06 14.29  7.14 356 9999.0 999.0  12.5 999.0 99.0 99.00
2014 01 01 03 51 999 99.0 99.0  1.04 12.50  7.21 349 9999.0 999.0  12.5 999.0 99.0 99.00
2014 01 01 04 21 999 99.0 99.0  0.96 13.33  7.05 353 9999.0 999.0  12.4 999.0 99.0 99.00
2014 01 01 04 51 999 99.0 99.0  1.01 13.33  7.25 352 9999.0 999.0  12.4 999.0 99.0 99.00
2014 01 01 05 21 999 99.0 99.0  0.97 13.33  7.62 353 9999.0 999.0  12.5 999.0 99.0 99.00
2014 01 01 05 51 999 99.0 99.0  1.14 12.50  8.64 351 9999.0 999.0  12.5 999.0 99.0 99.00
2014 01 01 06 21 999 99.0 99.0  1.00 12.50  8.54 351 9999.0 999.0  12.5 999.0 99.0 99.00
2014 01 01 06 51 999 99.0 99.0  0.99 14.29  8.80 352 9999.0 999.0  12.4 999.0 99.0 99.00
2014 01 01 07 21 999 99.0 99.0  1.09 14.29  9.63 355 9999.0 999.0  12.5 999.0 99.0 99.00
2014 01 01 07 51 999 99.0 99.0  1.07 12.50  9.51 351 9999.0 999.0  12.4 999.0 99.0 99.00
2014 01 01 08 21 999 99.0 99.0  1.04 13.33  9.63 353 9999.0 999.0  12.5 999.0 99.0 99.00
2014 01 01 08 51 999 99.0 99.0  1.06 12.50  9.68 346 9999.0 999.0  12.5 999.0 99.0 99.00
2014 01 01 09 21 999 99.0 99.0  1.02 13.33  9.87 351 9999.0 999.0  12.5 999.0 99.0 99.00
2014 01 01 09 51 999 99.0 99.0  0.86 13.33  8.98 355 9999.0 999.0  12.5 999.0 99.0 99.00
2014 01 01 10 21 999 99.0 99.0  0.94 11.76  9.61 349 9999.0 999.0  12.4 999.0 99.0 99.00
2014 01 01 10 51 999 99.0 99.0  0.96 13.33  9.54 353 9999.0 999.0  12.4 999.0 99.0 99.00
2014 01 01 11 21 999 99.0 99.0  0.95 11.76  9.68 349 9999.0 999.0  12.4 999.0 99.0 99.00
