#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 01 00 58 200  2.6 99.0 99.00 99.00 99.00 999 1026.8  11.5  12.5 999.0 99.0 99.00
2010 01 01 01 58 210  1.5 99.0 99.00 99.00 99.00 999 1027.2  11.4  12.5 999.0 99.0 99.00
2010 01 01 02 58 200  1.0 99.0 99.00 99.00 99.00 999 1027.6  11.3  12.4 999.0 99.0 99.00
2010 01 01 03 58 220  1.5 99.0 99.00 99.00 99.00 999 1028.2  11.3  12.5 999.0 99.0 99.00
2010 01 01 04 58 230  1.0 99.0 99.00 99.00 99.00 999 1027.9  11.4  12.9 999.0 99.0 99.00
2010 01 01 05 58   0  0.0 99.0 99.00 99.00 99.00 999 1028.3  11.4  12.5 999.0 99.0 99.00
2010 01 01 06 58  40  1.5 99.0 99.00 99.00 99.00 999 1028.1  11.2  12.5 999.0 99.0 99.00
2010 01 01 07 58  30  2.6 99.0 99.00 99.00 99.00 999 1027.8  10.6  12.5 999.0 99.0 99.00
2010 01 01 08 58  80  5.1 99.0 99.00 99.00 99.00 999 1026.7  10.3  12.4 999.0 99.0 99.00
2010 01 01 09 58  80  4.1 99.0 99.00 99.00 99.00 999 1026.2  10.8  12.5 999.0 99.0 99.00
2010 01 01 10 58  70  4.1 99.0 99.00 99.00 99.00 999 1026.0  10.2  12.6 999.0 99.0 99.00
2010 01 01 11 58  50  4.1 99.0 99.00 99.00 99.00 999 1026.2   9.6  12.6 999.0 99.0 99.00
2010 01 01 12 58  50  4.6 99.0 99.00 99.00 99.00 999 1026.0   9.7  12.7 999.0 99.0 99.00
2010 01 01 13 58  50  3.1 99.0 99.00 99.00 99.00 999 1026.3   9.8  12.7 999.0 99.0 99.00
2010 01 01 14 58  70  3.1 99.0 99.00 99.00 99.00 999 1026.8   9.6  12.5 999.0 99.0 99.00
2010 01 01 15 58  60  3.6 99.0 99.00 99.00 99.00 999 1026.7   9.8  12.7 999.0 99.0 99.00
2010 01 01 16 58  50  3.1 99.0 99.00 99.00 99.00 999 1027.2   9.8  12.6 999.0 99.0 99.00
2010 01 01 17 58  60  4.1 99.0 99.00 99.00 99.00 999 1027.3   9.9  12.5 999.0 99.0 99.00
2010 01 01 18 58  50  4.6 99.0 99.00 99.00 99.00 999 1026.5  10.1  12.3 999.0 99.0 99.00
2010 01 01 19 58 320  1.0 99.0 99.00 99.00 99.00 999 1026.6  11.2  12.5 999.0 99.0 99.00
2010 01 01 20 58 310  2.6 99.0 99.00 99.00 99.00 999 1025.9  11.1  12.5 999.0 99.0 99.00
