#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 01 00 16 320  9.3 99.0 99.00 99.00 99.00 999 1011.7  11.4  12.8 999.0 99.0 99.00
2022 01 01 01 16 320  8.8 99.0 99.00 99.00 99.00 999 1012.0  11.2  12.8 999.0 99.0 99.00
2022 01 01 02 16 340  6.7 99.0 99.00 99.00 99.00 999 1012.7  11.2  12.8 999.0 99.0 99.00
2022 01 01 03 16 330  7.7 99.0 99.00 99.00 99.00 999 1013.4  11.0  12.8 999.0 99.0 99.00
2022 01 01 04 16 320  7.7 99.0 99.00 99.00 99.00 999 1013.7  10.8  12.8 999.0 99.0 99.00
2022 01 01 05 16 330  9.3 99.0 99.00 99.00 99.00 999 1014.4  10.8  12.8 999.0 99.0 99.00
2022 01 01 06 16 340  6.7 99.0 99.00 99.00 99.00 999 1015.1  10.8  12.8 999.0 99.0 99.00
2022 01 01 07 16  10  6.7 99.0 99.00 99.00 99.00 999 1015.7  10.5  12.8 999.0 99.0 99.00
2022 01 01 08 16 360  8.2 99.0 99.00 99.00 99.00 999 1015.9  10.0  12.8 999.0 99.0 99.00
2022 01 01 09 16 360  7.2 99.0 99.00 99.00 99.00 999 1016.7  10.0  12.8 999.0 99.0 99.00
2022 01 01 10 16   0  0.0 99.0 99.00 99.00 99.00 999 1017.3   9.8  12.7 999.0 99.0 99.00
2022 01 01 11 16   0  0.0 99.0 99.00 99.00 99.00 999 1017.6   9.6  12.7 999.0 99.0 99.00
2022 01 01 12 16   0  0.0 99.0 99.00 99.00 99.00 999 1017.9   8.9  12.7 999.0 99.0 99.00
2022 01 01 13 16   0  0.0 99.0 99.00 99.00 99.00 999 1018.8   8.4  12.7 999.0 99.0 99.00
2022 01 01 14 16   0  0.0 99.0 99.00 99.00 99.00 999 1019.4   8.2  12.7 999.0 99.0 99.00
2022 01 01 15 16  60  1.0 99.0 99.00 99.00 99.00 999 1020.3   8.4  12.7 999.0 99.0 99.00
